Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered
99,1,0,98,0,0,0
103,0,1,102,18,0,0
73,1,4,68,11,0,0
34,1,2,31,0,0,0
10075,429,2959,6687,1075,75,0
71,8,15,48,0,1,0
43,1,0,42,0,0,0
100,0,4,96,21,0,0
15113,1016,1045,13052,2651,189,0
696,19,118,559,56,4,0
10,0,1,9,0,0,0
61,3,1,57,0,0,0
149,0,26,123,0,0,0
12,0,4,8,4,0,0
6,1,0,5,1,0,0
503,5,0,498,0,0,0
702,0,1,701,104,0,0
18,0,9,9,0,0,0
28,0,2,26,8,0,0
11,1,0,10,3,0,0
52,2,2,48,3,1,0
49,1,0,48,18,1,0
49,0,6,43,4,0,0
28,0,3,25,8,0,0
69,3,0,66,7,1,0
45,0,1,44,24,0,0
4,0,1,3,0,0,0
178,0,96,82,0,0,0
2277,55,183,2039,0,1,0
2,0,1,1,0,0,0
599,1,0,598,99,0,0
652,4,4,644,0,0,0
70,1,34,35,11,0,0
85,0,17,68,11,0,0
1790,9,19,1762,489,2,0
39,0,16,23,1,0,0
33,1,0,32,10,0,0
26,2,8,16,2,1,0
31,2,0,29,12,1,0
15,1,3,11,4,1,0
27,0,3,24,15,0,0
559,3,1,555,245,0,0
23,1,0,22,16,0,0
5,0,1,4,2,0,0
191,1,0,190,74,0,0
804,0,1,803,187,0,0
80,2,27,51,13,1,0
155,0,1,154,96,0,0
3681,79,12,3590,1388,31,0
190,1,0,189,91,0,0
134,0,1,133,31,0,0
82,2,4,76,9,1,0
69,4,2,63,35,3,0
11364,514,2959,7891,1289,85,0
90,1,0,89,47,0,0
126,0,4,122,26,0,0
733,21,118,594,37,2,0
80,0,5,75,0,0,0
17,0,1,16,7,0,0
77,3,1,73,16,0,0
197,0,26,171,48,0,0
26,0,4,22,14,0,0
806,10,0,796,303,5,0
996,0,1,995,294,0,0
19,0,9,10,1,0,0
31,0,2,29,3,0,0
27,1,0,26,16,0,0
64,5,2,57,12,3,0
68,2,0,66,19,1,0
45,0,3,42,17,0,0
80,5,0,75,11,2,0
86,0,1,85,41,0,0
10,0,1,9,6,0,0
6,0,1,5,4,0,0
814,1,0,813,215,0,0
1139,11,4,1124,487,7,0
50,1,20,29,1,0,0
2157,52,12,2093,596,9,0
3,1,0,2,2,1,0
85,0,17,68,0,0,0
2270,10,19,2241,480,1,0
47,0,16,31,8,0,0
38,1,0,37,5,0,0
250,3,23,224,50,0,0
655,1,6,648,151,0,0
15,1,3,11,0,0,0
210,0,44,166,15,0,0
27,0,3,24,0,0,0
689,4,1,684,130,1,0
41,2,0,39,18,1,0
7,0,1,6,2,0,0
196,1,0,195,5,0,0
38,0,1,37,6,0,0
836,1,1,834,32,1,0
28,2,0,26,11,2,0
109,2,27,80,29,0,0
225,0,1,224,70,0,0
4496,91,12,4393,815,12,0
4585,9,46,4530,910,2,0
156,0,1,155,22,0,0
102,2,4,96,20,0,0
12729,611,2959,9159,1365,97,0
129,2,0,127,39,1,0
155,0,4,151,29,0,0
795,22,118,655,62,1,0
104,0,5,99,24,0,0
26,0,1,25,9,0,0
93,3,1,89,16,0,0
4,0,1,3,3,0,0
51,1,0,50,17,1,0
18,0,1,17,6,0,0
41,0,4,37,15,0,0
17,1,1,15,10,0,0
962,12,0,950,156,2,0
14,0,1,13,0,0,0
1090,3,1,1086,94,3,0
19,0,9,10,0,0,0
53,0,2,51,22,0,0
36,1,0,35,9,0,0
111,8,2,101,47,3,0
103,3,0,100,35,1,0
103,0,1,102,17,0,0
10,0,1,9,0,0,0
181,1,0,180,40,1,0
8086,72,510,7504,107,6,0
10,0,1,9,4,0,0
961,2,0,959,147,1,0
1359,13,4,1342,220,2,0
53,1,20,32,3,0,0
82,1,35,46,7,0,0
2870,58,12,2800,713,6,0
3,1,0,2,0,0,0
85,0,17,68,0,0,0
2634,28,19,2587,364,18,0
53,0,16,37,6,0,0
42,1,0,41,4,0,0
48,4,12,32,11,1,0
45,2,1,42,11,0,0
297,3,23,271,47,0,0
860,1,6,853,205,0,0
27,0,3,24,0,0,0
886,4,1,881,197,0,0
51,2,0,49,10,0,0
7,0,1,6,0,0,0
250,1,0,249,54,0,0
49,0,1,48,11,0,0
875,2,1,872,39,1,0
28,2,0,26,0,0,0
4532,91,12,4429,36,0,0
5795,11,46,5738,1210,2,0
331,4,8,319,103,1,0
4,1,0,3,3,0,0
32,1,1,30,2,1,0
117,5,8,104,21,0,0
116,10,26,80,6,0,0
129,2,0,127,0,0,0
213,0,4,209,58,0,0
826,24,118,684,31,2,0
8,0,1,7,7,0,0
112,0,5,107,8,0,0
30,0,1,29,4,0,0
110,3,1,106,17,0,0
4,0,1,3,0,0,0
59,1,0,58,8,0,0
21,0,1,20,3,0,0
53,0,4,49,12,0,0
28,1,1,26,11,0,0
1138,20,0,1118,176,8,0
14,0,1,13,0,0,0
1221,3,1,1217,131,0,0
22,0,9,13,3,0,0
136,0,2,134,83,0,0
43,1,0,42,7,0,0
140,11,2,127,29,3,0
119,3,0,116,16,0,0
245,0,2,243,76,0,0
401,0,4,397,64,0,0
131,0,9,122,8,0,0
63,0,8,55,4,0,0
